F2: [1/66] 0.187932892104048 ('fixed acidity', 'volatile acidity')
F2: [2/66] 0.8014468216099738 ('fixed acidity', 'citric acid')
F2: [3/66] 0.5317839002616592 ('fixed acidity', 'residual sugar')
F2: [4/66] 0.19855317839002617 ('fixed acidity', 'chlorides')
F2: [5/66] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide')
F2: [6/66] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide')
F2: [7/66] 0.19855317839002617 ('fixed acidity', 'density')
F2: [8/66] 0.19855317839002617 ('fixed acidity', 'pH')
F2: [9/66] 0.18777897491149761 ('fixed acidity', 'sulphates')
F2: [10/66] 0.48360781899338157 ('fixed acidity', 'alcohol')
F2: [11/66] 0.18700938894874558 ('fixed acidity', 'quality')
F2: [12/66] 0.14560566415268586 ('volatile acidity', 'citric acid')
F2: [13/66] 0.5293212251808527 ('volatile acidity', 'residual sugar')
F2: [14/66] 0.13606279821456058 ('volatile acidity', 'chlorides')
F2: [15/66] 0.609819916884716 ('volatile acidity', 'free sulfur dioxide')
F2: [16/66] 0.7951362167154071 ('volatile acidity', 'total sulfur dioxide')
F2: [17/66] 0.1363706325996614 ('volatile acidity', 'density')
F2: [18/66] 0.1308296136678467 ('volatile acidity', 'pH')
F2: [19/66] 0.08911805448668617 ('volatile acidity', 'sulphates')
F2: [20/66] 0.45990457134061874 ('volatile acidity', 'alcohol')
F2: [21/66] 0.3840233954132677 ('volatile acidity', 'quality')
F2: [22/66] 0.5293212251808527 ('citric acid', 'residual sugar')
F2: [23/66] 0.39325842696629215 ('citric acid', 'chlorides')
F2: [24/66] 0.609819916884716 ('citric acid', 'free sulfur dioxide')
F2: [25/66] 0.7951362167154071 ('citric acid', 'total sulfur dioxide')
F2: [26/66] 0.4174234261967062 ('citric acid', 'density')
F2: [27/66] 0.32892104048022164 ('citric acid', 'pH')
F2: [28/66] 0.30768046790826536 ('citric acid', 'sulphates')
F2: [29/66] 0.45990457134061874 ('citric acid', 'alcohol')
F2: [30/66] 0.3840233954132677 ('citric acid', 'quality')
F2: [31/66] 0.47067877481914727 ('residual sugar', 'chlorides')
F2: [32/66] 0.6182853624749884 ('residual sugar', 'free sulfur dioxide')
F2: [33/66] 0.7951362167154071 ('residual sugar', 'total sulfur dioxide')
F2: [34/66] 0.47067877481914727 ('residual sugar', 'density')
F2: [35/66] 0.5293212251808527 ('residual sugar', 'pH')
F2: [36/66] 0.5293212251808527 ('residual sugar', 'sulphates')
F2: [37/66] 0.47329536709250425 ('residual sugar', 'alcohol')
F2: [38/66] 0.5293212251808527 ('residual sugar', 'quality')
F2: [39/66] 0.609819916884716 ('chlorides', 'free sulfur dioxide')
F2: [40/66] 0.7951362167154071 ('chlorides', 'total sulfur dioxide')
F2: [41/66] 0.24642142527320302 ('chlorides', 'density')
F2: [42/66] 0.3376943204555949 ('chlorides', 'pH')
F2: [43/66] 0.21440664922271818 ('chlorides', 'sulphates')
F2: [44/66] 0.45990457134061874 ('chlorides', 'alcohol')
F2: [45/66] 0.6159766045867323 ('chlorides', 'quality')
F2: [46/66] 0.785285516392181 ('free sulfur dioxide', 'total sulfur dioxide')
F2: [47/66] 0.609819916884716 ('free sulfur dioxide', 'density')
F2: [48/66] 0.609819916884716 ('free sulfur dioxide', 'pH')
F2: [49/66] 0.609819916884716 ('free sulfur dioxide', 'sulphates')
F2: [50/66] 0.609819916884716 ('free sulfur dioxide', 'alcohol')
F2: [51/66] 0.609819916884716 ('free sulfur dioxide', 'quality')
F2: [52/66] 0.20040018470063106 ('total sulfur dioxide', 'density')
F2: [53/66] 0.7951362167154071 ('total sulfur dioxide', 'pH')
F2: [54/66] 0.7951362167154071 ('total sulfur dioxide', 'sulphates')
F2: [55/66] 0.7951362167154071 ('total sulfur dioxide', 'alcohol')
F2: [56/66] 0.7951362167154071 ('total sulfur dioxide', 'quality')
F2: [57/66] 0.3376943204555949 ('density', 'pH')
F2: [58/66] 0.22518085270124674 ('density', 'sulphates')
F2: [59/66] 0.45990457134061874 ('density', 'alcohol')
F2: [60/66] 0.6159766045867323 ('density', 'quality')
F2: [61/66] 0.2655071571494536 ('pH', 'sulphates')
F2: [62/66] 0.45990457134061874 ('pH', 'alcohol')
F2: [63/66] 0.3840233954132677 ('pH', 'quality')
F2: [64/66] 0.45990457134061874 ('sulphates', 'alcohol')
F2: [65/66] 0.3840233954132677 ('sulphates', 'quality')
F2: [66/66] 0.4632907495767277 ('alcohol', 'quality')
F3: [1/220] 0.18808680929659843 ('fixed acidity', 'volatile acidity', 'citric acid')
F3: [2/220] 0.5317839002616592 ('fixed acidity', 'volatile acidity', 'residual sugar')
F3: [3/220] 0.187932892104048 ('fixed acidity', 'volatile acidity', 'chlorides')
F3: [4/220] 0.609819916884716 ('fixed acidity', 'volatile acidity', 'free sulfur dioxide')
F3: [5/220] 0.7951362167154071 ('fixed acidity', 'volatile acidity', 'total sulfur dioxide')
F3: [6/220] 0.187932892104048 ('fixed acidity', 'volatile acidity', 'density')
F3: [7/220] 0.18808680929659843 ('fixed acidity', 'volatile acidity', 'pH')
F3: [8/220] 0.18762505771894722 ('fixed acidity', 'volatile acidity', 'sulphates')
F3: [9/220] 0.5159304294289672 ('fixed acidity', 'volatile acidity', 'alcohol')
F3: [10/220] 0.18700938894874558 ('fixed acidity', 'volatile acidity', 'quality')
F3: [11/220] 0.5317839002616592 ('fixed acidity', 'citric acid', 'residual sugar')
F3: [12/220] 0.19855317839002617 ('fixed acidity', 'citric acid', 'chlorides')
F3: [13/220] 0.609819916884716 ('fixed acidity', 'citric acid', 'free sulfur dioxide')
F3: [14/220] 0.7951362167154071 ('fixed acidity', 'citric acid', 'total sulfur dioxide')
F3: [15/220] 0.8014468216099738 ('fixed acidity', 'citric acid', 'density')
F3: [16/220] 0.18808680929659843 ('fixed acidity', 'citric acid', 'pH')
F3: [17/220] 0.187932892104048 ('fixed acidity', 'citric acid', 'sulphates')
F3: [18/220] 0.48360781899338157 ('fixed acidity', 'citric acid', 'alcohol')
F3: [19/220] 0.18700938894874558 ('fixed acidity', 'citric acid', 'quality')
F3: [20/220] 0.5317839002616592 ('fixed acidity', 'residual sugar', 'chlorides')
F3: [21/220] 0.6184392796675389 ('fixed acidity', 'residual sugar', 'free sulfur dioxide')
F3: [22/220] 0.2048637832845929 ('fixed acidity', 'residual sugar', 'total sulfur dioxide')
F3: [23/220] 0.5317839002616592 ('fixed acidity', 'residual sugar', 'density')
F3: [24/220] 0.5317839002616592 ('fixed acidity', 'residual sugar', 'pH')
F3: [25/220] 0.5317839002616592 ('fixed acidity', 'residual sugar', 'sulphates')
F3: [26/220] 0.4717561951670002 ('fixed acidity', 'residual sugar', 'alcohol')
F3: [27/220] 0.46806218254579035 ('fixed acidity', 'residual sugar', 'quality')
F3: [28/220] 0.609819916884716 ('fixed acidity', 'chlorides', 'free sulfur dioxide')
F3: [29/220] 0.7951362167154071 ('fixed acidity', 'chlorides', 'total sulfur dioxide')
F3: [30/220] 0.19855317839002617 ('fixed acidity', 'chlorides', 'density')
F3: [31/220] 0.19855317839002617 ('fixed acidity', 'chlorides', 'pH')
F3: [32/220] 0.18777897491149761 ('fixed acidity', 'chlorides', 'sulphates')
F3: [33/220] 0.4842234877635832 ('fixed acidity', 'chlorides', 'alcohol')
F3: [34/220] 0.18700938894874558 ('fixed acidity', 'chlorides', 'quality')
F3: [35/220] 0.7859011851623826 ('fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide')
F3: [36/220] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide', 'density')
F3: [37/220] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide', 'pH')
F3: [38/220] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide', 'sulphates')
F3: [39/220] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide', 'alcohol')
F3: [40/220] 0.609819916884716 ('fixed acidity', 'free sulfur dioxide', 'quality')
F3: [41/220] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide', 'density')
F3: [42/220] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide', 'pH')
F3: [43/220] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide', 'sulphates')
F3: [44/220] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide', 'alcohol')
F3: [45/220] 0.7951362167154071 ('fixed acidity', 'total sulfur dioxide', 'quality')
F3: [46/220] 0.19855317839002617 ('fixed acidity', 'density', 'pH')
F3: [47/220] 0.18777897491149761 ('fixed acidity', 'density', 'sulphates')
F3: [48/220] 0.5157765122364169 ('fixed acidity', 'density', 'alcohol')
F3: [49/220] 0.18700938894874558 ('fixed acidity', 'density', 'quality')
F3: [50/220] 0.187932892104048 ('fixed acidity', 'pH', 'sulphates')
F3: [51/220] 0.5157765122364169 ('fixed acidity', 'pH', 'alcohol')
F3: [52/220] 0.18700938894874558 ('fixed acidity', 'pH', 'quality')
